Depth [L],Concentration [M L^-3]
40.089,7758.89
40.187,7728.15
40.262,7856.493
40.309,7774.616
40.363,7858.78
40.43,7858.258
40.494,7870.158
40.638,7865.571
40.745,7742.702
40.829,7691.815
40.882,7712.239
40.944,7644.13
41.009,7525.581
41.12,7512.703
41.206,7483.39
41.318,7173.126
41.507,7058.342
41.657,7071.079
41.791,7087.165
41.975,7085.851
42.184,6841.247
42.399,6641.99
42.597,6353.101
42.718,6355.833
42.885,6361.317
43.065,6342.921
43.266,6209.569
43.501,6045.895
43.671,5748.22
43.888,5896.119
44.012,5898.404
44.125,5844.912
44.313,5526.04
44.463,5493.689
44.55,5440.397
44.745,5220.715
44.822,5180.981
44.908,5066.687
45.003,5020.69
45.183,4958.615
45.306,4970.133
45.402,4975.537
45.54,4643.498
45.664,4526.457
45.807,4502.678
45.945,4343.063
46.151,4196.638
46.32,4116.365
46.525,4132.647
46.613,4171.394
46.82,4168.901
47.028,4126.915
47.279,4137.434
47.582,4011.455
47.786,3636.43
47.977,3573.266
48.181,3590.285
48.422,3527.095
48.601,3567.866
48.891,3511.529
49.213,3567.14
49.519,3620.214
49.958,3924.537
50.288,4085.672
50.609,4442.758
50.915,4661.208
51.221,4701.378
51.614,4799.1
51.96,4853.701
52.106,4893.378
52.342,4916.515
52.516,4926.214
52.732,4934.31
52.901,4935.27
53.237,4941.804
53.619,4932.112
53.971,4918.401
54.314,4917.671
54.697,4912.235
54.937,4915.925
55.194,4919.869
55.221,4913.814
55.313,4915.673
55.417,4904.063
55.558,4921.968
55.606,4922.531
55.736,4920.612
55.954,4918.158
56.339,4914.799
56.74,4915.271
57.345,4928.496
57.525,4936.654
57.792,4946.378
58.18,4979.095
58.633,5029.172
59.102,5042.098
59.283,5009.585
59.388,5013.259
59.744,5001.874
60.257,4995.555
60.685,5054.974
61.066,5046.63
61.337,5035.314
61.515,5031.405
61.853,4997.026
62.218,4978.978
62.672,4924.759
63.001,4861.446
63.371,4819.572
63.589,4755.138
63.781,4747.987
63.961,4723.399
64.141,4714.173
64.239,4705.91
64.469,4694.204
64.672,4686.754
64.965,4690.857
65.258,4706.153
65.442,4752.318
65.782,4851.188
66.013,4894.088
66.155,4900.467
66.347,4924.773
66.505,4955.239
66.703,4932.741
66.74,4938.897
66.982,4937.448
67.066,4928.268
67.087,4927.939
67.238,4910.906
67.32,4881.5
67.499,4886.352
67.635,4869.67
67.811,4812.432
68.029,4778.53
68.129,4779.787
68.223,4783
68.276,4781.993
68.449,4710.829
68.669,4705.45
68.861,4686.258
68.917,4674.805
68.988,4669
68.995,4663.235
69.153,4656.306
69.241,4653.545
69.287,4646.639
69.446,4635.098
69.556,4633.117
69.796,4592.568
70.063,4683.938
70.338,6547.235
70.6,7516.818
70.827,7675.828
71.002,7720.619
71.204,7805.846
71.349,7821.986
71.541,7826.735
71.7,7825.775
71.849,7820.894
72.012,7819.848
72.15,7823.472
72.38,7822.254
72.564,7819.32
72.696,7809.48
72.9,7834.237
73.015,7857.405
73.112,8234.187
73.267,7056.151
73.41,23871.188
73.545,26097.215
73.678,27018.148
73.989,27538.25
74.192,27664.445
74.574,27338.883
74.75,27095.438
74.914,26285.74
75.097,25322.756
75.27,24464.975
75.572,23800.064
76.008,21763.555
76.178,21219.117
76.258,21160.24
76.349,20864.969
76.537,19564.605
76.702,19867.131
76.814,19349.588
76.813,19668.281
76.881,19740.982
76.961,17257.172
77.043,16994.408
77.135,16761.633
77.332,16692.965
77.492,17231.748
77.722,16465.752
77.895,15504.219
77.985,14087.025
78.166,12363.576
78.331,12332.847
78.464,11671.636
78.485,11771.208
78.539,11541.893
78.692,10151.449
78.751,10221.761
78.869,9668.827
78.929,9565.598
79.055,9246.7
79.164,9135.386
79.316,8750.994
79.532,8475.025
79.673,8495.301
79.849,7822.285
80.005,7087.245
80.185,6970.745
80.345,6569.097
80.439,6349.912
80.568,6113.493
80.669,6017.81
80.78,6044.873
80.924,5900.082
81.025,5718.746
81.083,5530.192
81.109,5473.519
81.118,5624.698
81.094,5370.544
81.129,4977.447
81.185,4972.465
81.286,4929.836
81.357,4362.409
81.387,4293.702
81.451,4197.921
81.512,4394.249
81.583,4458.836
81.658,4349.65
81.718,4016.508
81.791,3983.072
81.905,3966.948
81.982,3675.037
82.013,3585.491
82.037,3687.972
82.118,3546.102
82.231,3454.892
82.262,3318.488
82.297,3302.311
82.432,2943.18
82.428,2963.039
82.473,3058.885
82.638,2984.215
82.816,2727.522
83.014,2657.593
83.268,2586.703
83.473,2569.413
83.752,2494.342
83.897,2447.425
84.141,2398.314
84.343,2366.216
84.619,2357.667
84.8,2340.902
85.005,2335.156
85.197,2334.067
85.316,2323.805
85.486,2311.882
85.734,2314.245
85.902,2305.645
86.054,2306.138
86.126,2306.911
86.324,2305.161
86.633,2306.034
86.903,2306.844
87.167,2304.569
87.36,2302.054
87.559,2300.418
87.725,2297.59
87.801,2300.382
87.963,2299.609
88.196,2300.362
88.362,2298.553
88.54,2297.826
88.68,2296.511
88.89,2295.273
89.113,2295.313
89.309,2295.015
89.482,2294.931
89.666,2295.409
89.822,2294.603
89.947,2294.915
90.181,2295.67
90.243,2295.342
90.354,2295.115
90.463,2296.105
90.576,2295.644
90.805,2294.476
91.028,2295.988
91.244,2294.419
91.437,2295.281
91.675,2294.815
91.855,2294.508
91.979,2294.364
92.097,2294.936
92.212,2295.179
92.297,2294.315
92.387,2294.71
92.479,2295.208
92.577,2295.005
92.704,2295.117
92.814,2295.604
92.902,2294.971
92.971,2295.534
93.033,2295.353
93.142,2297.047
93.197,2296.185
93.244,2296.114
93.284,2296.393
93.41,2297.042
93.559,2294.271
93.687,2295.945
93.756,2294.82
93.778,2295.024
93.794,2295.506
93.79,2296.193
93.683,2295.832
93.801,2297.794
93.767,2298.209
93.433,2298.559
93.8,2297.318
93.809,2297.452
93.813,2297.722
93.803,2297.719
93.802,2298.196
93.804,2298.19
93.801,2298.089
93.804,2298.173
93.805,2298.164
93.797,2298.861
93.804,2298.051
93.799,2298.791
93.806,2298.125
93.804,2298.73
93.807,2298.112
93.796,2298.358
93.802,2297.257
93.804,2297.733
93.806,2298.714
93.802,2298.565
93.802,2298.538
93.802,2298.451
93.802,2299.214
93.807,2298.646
93.802,2298.799
93.804,2298.718
93.805,2299.313
93.801,2298.713
93.804,2297.766
93.798,2299.26
93.552,2297.971
93.708,2297.746
93.434,2298.725
93.343,2298.165
93.468,2296.929
93.665,2297.968
93.776,2293.906
93.787,2297.451
93.796,2297.618
93.799,2297.934
93.795,2296.842
93.789,2297.656
93.8,2298.294
93.792,2297.982
93.791,2297.824
93.791,2296.67
93.793,2296.997
93.799,2298.297
93.801,2298.267
93.792,2297.474
93.792,2297.948
93.798,2298.242
93.798,2297.778
93.796,2297.845
93.792,2298.108
93.797,2297.839
93.797,2298.313
93.794,2297.73
93.802,2298.437
93.795,2297.854
93.799,2296.837
93.796,2297.3
93.796,2298.676
93.809,2297.968
93.794,2298.625
93.797,2298.316
93.8,2299.008
93.794,2298.228
93.795,2298.177
93.8,2298.045
93.791,2298.829
93.78,2296.038
93.683,2298.07
93.434,2296.592
93.296,2298.775
93.051,2298.189
92.718,2297.962
92.632,2296.558
92.539,2295.792
92.513,2296.135
92.603,2296.448
